spectrum,wavenumber,persistence,prominence,matched,essential,edge,n_topological,n_peaks,summary
3,839.9833287024173,0.007973903684788168,0.007973903684788168,True,False,False,,,
3,3006.1628230063907,0.0078455777057094,0.0078455777057094,True,False,False,,,
3,1180.9380383439843,0.007352887676730424,0.007352887676730424,True,False,False,,,
3,2322.310641844957,0.0072841381371455995,0.0072841381371455995,True,False,False,,,
3,1868.6757432620172,0.007253629759862096,0.007253629759862096,True,False,False,,,
3,2078.4940261183665,0.006546600435547663,0.006546600435547663,True,False,False,,,
3,1798.7363156432343,0.006537474943890188,0.006537474943890188,True,False,False,,,
3,1507.322033898305,0.006033967957701003,0.006033967957701003,True,False,False,,,
3,3648.245623784385,0.005982256807683799,0.005982256807683799,True,False,False,,,
3,2208.6590719644346,0.005818855572858777,0.005818855572858777,True,False,False,,,
3,3723.0419560989167,0.005769380583369578,0.005769380583369578,True,False,False,,,
3,3334.4895804390108,0.0055030893787064925,0.0055030893787064925,True,False,False,,,
3,1583.0897471519868,0.004951212011519955,0.004951212011519955,True,False,False,,,
3,1964.8424562378439,0.004873440284231758,0.004873440284231758,True,False,False,,,
3,3734.6985273687137,0.004358539252357517,0.004358539252357517,True,False,False,,,
3,814.7274242845235,0.004226564165241475,0.004226564165241475,True,False,False,,,
3,1923.0730758544041,0.004170959532056985,0.004170959532056985,True,False,False,,,
3,596.1667129758266,0.0041046305672107625,0.0041046305672107625,True,False,False,,,
3,3840.579049736038,0.0040932946723897376,0.0040932946723897376,True,False,False,,,
3,1239.2208946929704,0.004050329831311268,0.004050329831311268,True,False,False,,,
3,2349.5093081411505,0.003868162254035799,0.003868162254035799,True,False,False,,,
3,3947.430953042512,0.003783788680474757,0.0032264407670419167,True,False,False,,,
3,2246.5429285912755,0.003761946740052405,0.003761946740052405,True,False,False,,,
3,3080.9591553209225,0.0036956419813294616,0.0036956419813294616,True,False,False,,,
3,2137.748263406502,0.0036808862469344325,0.0036808862469344325,True,False,False,,,
3,2066.837454848569,0.003537545011874572,0.003537545011874572,True,False,False,,,
3,3679.329813837177,0.0034512340809330962,0.0034512340809330962,True,False,False,,,
3,3755.097527090859,0.0031959466752076475,0.0031959466752076475,True,False,False,,,
3,3862.9208113364825,0.0030617274535530287,0.0030617274535530287,True,False,False,,,
3,721.4748541261462,0.003059484699854481,0.003059484699854481,True,False,False,,,
3,1715.1975548763546,0.0030077579506504297,0.0030077579506504297,True,False,False,,,
3,2112.492358988608,0.0028498532477888843,0.0028498532477888843,True,False,False,,,
3,3616.1900527924427,0.002741871995836618,0.002741871995836618,True,False,False,,,
3,1657.8860794665186,0.002598729572819619,0.002598729572819619,True,False,False,,,
3,3586.0772436787997,0.0025783510748843275,0.0025783510748843275,True,False,False,,,
3,3796.8669074742984,0.0025763236739148538,0.0025763236739148538,True,False,False,,,
3,2360.1944984717975,0.002540684048023524,0.002540684048023524,True,False,False,,,
3,3694.8719088635735,0.0025059646325036964,0.0025059646325036964,True,False,False,,,
