target,representation,model,Q2,RMSE,MAPE
T50,peaks: + area,ridge,0.6296612525383816,25.33043546154607,4.721069715544273
T50,peaks: + area,PLS,0.5353357782330526,28.373485946715004,5.040332709122102
T50,peaks: + prominence,ridge,0.4497007207992495,30.877529918783377,5.086568371357926
T50,peaks: + prominence,PLS,0.4962796736497997,29.541858746839683,5.102202191350526
T50,peaks: all five,ridge,0.5688877723985752,27.329913029529397,4.765182454694348
T50,peaks: all five,PLS,0.5822339407429612,26.90355407599624,4.807256689768097
T50,raw spectra,ridge,0.5557259788327154,27.743965680486685,4.107635557658031
T50,raw spectra,PLS,0.5948332353766527,26.49475976156186,5.1099259857257415
T_dtg_peak,family mean,-,0.6241099134919688,34.0936291927502,6.038554349335764
T_dtg_peak,TFI,ridge,0.3228984980823717,45.75827941644692,8.818360097766078
T_dtg_peak,TFI,PLS,0.27283297181889576,47.41981841787179,9.287203348302473
T_dtg_peak,PI,ridge,0.12815361760443011,51.92335929031273,10.650648607345428
T_dtg_peak,PI,PLS,0.0916693062474887,52.99864817560344,10.369942320319211
T_dtg_peak,peaks: position,ridge,0.16678089113515548,50.76009287785424,10.261412195933318
T_dtg_peak,peaks: position,PLS,0.30631622700347416,46.315202269447326,9.249499065266775
T_dtg_peak,peaks: + intensity,ridge,0.5288386609211362,38.1704799794987,6.769954127464481
T_dtg_peak,peaks: + intensity,PLS,0.5428851952381696,37.59719466003675,6.990300302024775
T_dtg_peak,peaks: + width,ridge,0.253797122158711,48.0364889991865,10.321233040088707
T_dtg_peak,peaks: + width,PLS,0.26436276376848267,47.69519727215851,10.115254145513427
T_dtg_peak,peaks: + area,ridge,0.32469773695981374,45.69744301224787,9.650705463001147
T_dtg_peak,peaks: + area,PLS,0.2432180290633278,48.3758028803391,9.674071460083303
T_dtg_peak,peaks: + prominence,ridge,0.3056293306297506,46.33812760949923,8.744198698733129
T_dtg_peak,peaks: + prominence,PLS,0.329690951199462,45.52818511828968,8.930537986322612
T_dtg_peak,peaks: all five,ridge,0.33477465138149,45.355211059289026,9.476578132728426
T_dtg_peak,peaks: all five,PLS,0.258751371424658,47.87675960387665,9.819888973051137
T_dtg_peak,raw spectra,ridge,0.27804611451523076,47.2495336495647,8.993034763053465
T_dtg_peak,raw spectra,PLS,0.3511928561273373,44.79201593019612,9.098130740290419
residue,family mean,-,0.7052147960468795,2.5720251327260355,59.413428820826574
residue,TFI,ridge,0.4940833831843775,3.369471903623751,85.82330606581323
residue,TFI,PLS,0.5069183117329319,3.3264561624241784,85.24591726627315
residue,PI,ridge,-0.36589796509570105,5.536451456060088,152.1546709314077
residue,PI,PLS,-0.3156095224669382,5.43357757032752,102.06545128692268
residue,peaks: position,ridge,-0.4146590307896809,5.634407526303708,121.01781742380557
residue,peaks: position,PLS,-0.50621983487632,5.813886491995717,109.9844141981775
residue,peaks: + intensity,ridge,0.3848423270974035,3.7154856646450756,65.37312609836206
residue,peaks: + intensity,PLS,0.4562817719980159,3.493086286612541,62.23957042355617
residue,peaks: + width,ridge,-0.29933026002504604,5.399855568160391,177.1912756732761
residue,peaks: + width,PLS,-0.26528927306999806,5.328651041340736,158.91305462264472
residue,peaks: + area,ridge,-0.15600189192789982,5.093327941424239,89.15586996185743
residue,peaks: + area,PLS,-0.16984702128359452,5.123737881273335,93.61433681920369
